#flag_LS, flag_dep, flag_div, xval, yval, xerr, yerr(stat), yerr_l, yerr_h
######################
#Angle dependence (Lambda)
1 1 1 8. 0.377 8. 0.022 0.0529 0.0926
#Angle dependence (Lambda)
1 1 2 4. 0.362 4. 0.025 0.0618 0.104
1 1 2 12. 0.419 4. 0.029 0.0762 0.125
#Angle dependence (Lambda)
#1 1 3 3. 0.2762 3. 0.017 
#1 1 3 8. 0.3734 2. 0.023
#1 1 3 13. 0.3510 3. 0.023
######################
#Angle dependence (Sigma0)
2 1 1 8. 0.0635 8. 0.009 0.0183 0.0626
#Angle dependence (Sigma0)
2 1 2 4. 0.0525 4. 0.010 0.0177 0.0562
2 1 2 12. 0.0743 4. 0.0123 0.0239 0.0774
#Angle dependence (Sigma0)
#2 1 3 3. 0.0687 3. 0.008
#2 1 3 8. 0.1169 2. 0.011
#2 1 3 13. 0.1205 3. 0.011
######################
######################
######################
#Q2 dependence (Lambda)
1 2 1 0.5 0.377 0.2 0.022 0.0529 0.0926
#Q2 dependence (Lambda)
1 2 2 0.4 0.480 0.1 0.031 0.0805 0.135
1 2 2 0.6 0.290 0.1 0.021 0.0532 0.0883
#Q2 dependence (Lambda)
#1 2 3 0.225 0.5514 0.225 0.034
#1 2 3 0.5 0.2745 0.05 0.016
#1 2 3 0.775 0.2142 0.225 0.016
######################
#Q2 dependence (Sigma0)
2 2 1 0.5 0.0635 0.2 0.009 0.0183 0.0626
#Q2 dependence (Sigma0)
2 2 2 0.4 0.0881 0.1 0.014 0.0284 0.0916
2 2 2 0.6 0.0305 0.1 0.006 0.0104 0.0332
#Q2 dependence (Sigma0)
#2 2 3 0.225 0.2291 0.225 0.021
#2 2 3 0.5 0.0783 0.05 0.008
#2 2 3 0.775 0.03304 0.225 0.005
