#flag_LS, flag_dep, flag_div, xval, yval, xerr, yerr
######################
#Angle dependence (Lambda)
1 1 1 8. 0.3195 8. 0.016
#Angle dependence (Lambda)
1 1 2 4. 0.3094 4. 0.017
1 1 2 12. 0.3575 4. 0.023
#Angle dependence (Lambda)
1 1 3 3. 0.2762 3. 0.017 
1 1 3 8. 0.3734 2. 0.023
1 1 3 13. 0.3510 3. 0.023
######################
#Angle dependence (Sigma0)
2 1 1 8. 0.1032 8. 0.0084
#Angle dependence (Sigma0)
2 1 2 4. 0.08727 4. 0.008
2 1 2 12. 0.1196 4. 0.0105
#Angle dependence (Sigma0)
2 1 3 3. 0.0687 3. 0.008
2 1 3 8. 0.1169 2. 0.011
2 1 3 13. 0.1205 3. 0.011
######################
######################
######################
#Q2 dependence (Lambda)
1 2 1 0.5 0.3195 0.5 0.016
#Q2 dependence (Lambda)
1 2 2 0.25 0.4244 0.25 0.023
1 2 2 0.75 0.2341 0.25 0.014
#Q2 dependence (Lambda)
1 2 3 0.225 0.5514 0.225 0.034
1 2 3 0.5 0.2745 0.05 0.016
1 2 3 0.775 0.2142 0.225 0.016
######################
#Q2 dependence (Sigma0)
2 2 1 0.5 0.1032 0.5 0.0085
#Q2 dependence (Sigma0)
2 2 2 0.25 0.1588 0.25 0.014
2 2 2 0.75 0.0529 0.25 0.0055
#Q2 dependence (Sigma0)
2 2 3 0.225 0.2291 0.225 0.021
2 2 3 0.5 0.0783 0.05 0.008
2 2 3 0.775 0.03304 0.225 0.005
