#flag_LS, flag_dep, flag_div, xval, yval, xerr, yerr(stat), yerr_l, yerr_h
######################
#Angle dependence (Lambda)
1 1 1 8. 0.426 8. 0.022 0.0613 0.0432
#Angle dependence (Lambda)
1 1 2 4. 0.421 4. 0.024 0.0629 0.0691
1 1 2 12. 0.438 4. 0.025 0.0687 0.0725
#Angle dependence (Lambda)
#1 1 3 3. 0.2762 3. 0.017 
#1 1 3 8. 0.3734 2. 0.023
#1 1 3 13. 0.3510 3. 0.023
######################
#Angle dependence (Sigma0)
2 1 1 8. 0.0798 8. 0.005 0.0225 0.0434
#Angle dependence (Sigma0)
2 1 2 4. 0.0584 4. 0.006 0.0135 0.00565
2 1 2 12. 0.0813 4. 0.007 0.0171 0.0769
#Angle dependence (Sigma0)
#2 1 3 3. 0.0687 3. 0.008
#2 1 3 8. 0.1169 2. 0.011
#2 1 3 13. 0.1205 3. 0.011
######################
######################
######################
#Q2 dependence (Lambda)
1 2 1 0.5 0.426 0.2 0.022 0.0613 0.0432
#Q2 dependence (Lambda)
1 2 2 0.4 0.556 0.1 0.030 0.0945 0.0652
1 2 2 0.6 0.337 0.1 0.021 0.0680 0.0428
#Q2 dependence (Lambda)
#1 2 3 0.225 0.5514 0.225 0.034
#1 2 3 0.5 0.2745 0.05 0.016
#1 2 3 0.775 0.2142 0.225 0.016
######################
#Q2 dependence (Sigma0)
2 2 1 0.5 0.0798 0.2 0.005 0.0225 0.0434
#Q2 dependence (Sigma0)
2 2 2 0.4 0.120 0.1 0.008 0.0399 0.0655
2 2 2 0.6 0.0377 0.1 0.005 0.0129 0.0227
#Q2 dependence (Sigma0)
#2 2 3 0.225 0.2291 0.225 0.021
#2 2 3 0.5 0.0783 0.05 0.008
#2 2 3 0.775 0.03304 0.225 0.005
