#flag_LS, flag_dep, flag_div, xval, yval, xerr, yerr(stat), yerr_l, yerr_h
######################
#Angle dependence (Lambda)
1 1 1 8. 0.377 8. 0.022 0.0529 0.0926
#Angle dependence (Lambda)
1 1 2 4. 0.362 4. 0.025 0.0618 0.104
1 1 2 12. 0.419 4. 0.029 0.0762 0.125
#Angle dependence (Lambda)
#1 1 3 3. 0.2762 3. 0.017 
#1 1 3 8. 0.3734 2. 0.023
#1 1 3 13. 0.3510 3. 0.023
######################
#Angle dependence (Sigma0)
2 1 1 8. 0.0635 8. 0.009 0.0183 0.0626
#Angle dependence (Sigma0)
2 1 2 4. 0.0525 4. 0.010 0.0177 0.0562
2 1 2 12. 0.0743 4. 0.0123 0.0239 0.0774
#Angle dependence (Sigma0)
#2 1 3 3. 0.0687 3. 0.008
#2 1 3 8. 0.1169 2. 0.011
#2 1 3 13. 0.1205 3. 0.011
######################
######################
######################
#Q2 dependence (Lambda)
1 2 1 0.5 0.418 0.2 0.0235 0.037 0.079
#Q2 dependence (Lambda)
1 2 2 0.4 0.538 0.1 0.031 0.0571 0.115
1 2 2 0.6 0.326 0.1 0.021 0.0404 0.078
#Q2 dependence (Lambda)
#1 2 3 0.225 0.5514 0.225 0.034
#1 2 3 0.5 0.2745 0.05 0.016
#1 2 3 0.775 0.2142 0.225 0.016
######################
#Q2 dependence (Sigma0)
2 2 1 0.5 0.0687 0.2 0.007 0.014 0.0572
#Q2 dependence (Sigma0)
2 2 2 0.4 0.0977 0.1 0.014 0.0249 0.0889
2 2 2 0.6 0.0338 0.1 0.006 0.0085 0.0320
#Q2 dependence (Sigma0)
#2 2 3 0.225 0.2291 0.225 0.021
#2 2 3 0.5 0.0783 0.05 0.008
#2 2 3 0.775 0.03304 0.225 0.005
