0.00737945 0.0205673 0.0250617 0.0355941 0.0326057 AC1<0, 0<AC2<20
0.00737945 0.0205673 0.0248844 0.0355941 0.0326057 AC1<0, 0.2<AC2<20
0.00737693 0.0206803 0.024019 0.0356264 0.0326661 AC1<0, 0.4<AC2<20
0.00737945 0.0210193 0.0225931 0.0356425 0.0330283 AC1<0, 0.6<AC2<20
0.00737189 0.0207933 0.0206353 0.0357235 0.0335718 AC1<0, 0.8<AC2<20
0.00737441 0.0207933 0.0181951 0.0357557 0.034236 AC1<0, 1<AC2<20
0.00737189 0.0215844 0.0161025 0.0358852 0.0348398 AC1<0, 1.2<AC2<20
0.00736937 0.0211323 0.0143716 0.0346377 0.0358663 AC1<0, 1.4<AC2<20
0.00737693 0.0205673 0.0129387 0.0340706 0.0361682 AC1<0, 1.6<AC2<20
0.00737189 0.0209063 0.0115839 0.0341677 0.0364701 AC1<0, 1.8<AC2<20
0.00736685 0.0203413 0.0103779 0.0342163 0.0369531 AC1<0, 2<AC2<20
0.00736433 0.0203413 0.00956218 0.0335845 0.037255 AC1<0, 2.2<AC2<20
0.00735426 0.0206803 0.00861164 0.0329689 0.0376777 AC1<0, 2.4<AC2<20
0.0073467 0.0203413 0.00778169 0.0317052 0.0378588 AC1<0, 2.6<AC2<20
0.00735174 0.0197762 0.00676021 0.0304577 0.0356851 AC1<0, 2.8<AC2<20
0.00735426 0.0200023 0.00617144 0.0304738 0.0360474 AC1<0, 3<AC2<20
0.00735426 0.0195502 0.00561104 0.029194 0.0361078 AC1<0, 3.2<AC2<20
0.0073467 0.0189852 0.00515705 0.0273147 0.0364701 AC1<0, 3.4<AC2<20
0.00734166 0.0187592 0.00481656 0.0273309 0.0366512 AC1<0, 3.6<AC2<20
0.0073467 0.0183072 0.00446897 0.025403 0.036772 AC1<0, 3.8<AC2<20
0.00734418 0.0180811 0.00398661 0.0254192 0.0344171 AC1<0, 4<AC2<20
0.0073467 0.0178551 0.00365321 0.0247873 0.0344775 AC1<0, 4.2<AC2<20
0.00733662 0.0177421 0.00343331 0.0247873 0.0344775 AC1<0, 4.4<AC2<20
0.00732654 0.0177421 0.00315666 0.0248035 0.0344775 AC1<0, 4.6<AC2<20
0.00730639 0.0177421 0.00298641 0.0248034 0.0344775 AC1<0, 4.8<AC2<20
0.00729379 0.0177421 0.00290129 0.0248034 0.0345983 AC1<0, 5<AC2<20
0.00727867 0.0176291 0.0026601 0.0248034 0.0346586 AC1<0, 5.2<AC2<20
0.00726608 0.0170641 0.0024402 0.0241554 0.0299489 AC1<0, 5.4<AC2<20
0.007256 0.016386 0.00229124 0.0235074 0.0277148 AC1<0, 5.6<AC2<20
0.00723836 0.015482 0.00219902 0.0215632 0.0255411 AC1<0, 5.8<AC2<20
0.00721821 0.0148039 0.00206424 0.0202834 0.0256015 AC1<0, 6<AC2<20
0.00720057 0.0141259 0.00197912 0.0202996 0.0256015 AC1<0, 6.2<AC2<20
0.00719805 0.0138999 0.00185143 0.0202996 0.0231863 AC1<0, 6.4<AC2<20
0.0071779 0.0136739 0.00176631 0.0196678 0.0232466 AC1<0, 6.6<AC2<20
0.00716782 0.0136739 0.00168118 0.0196678 0.0232466 AC1<0, 6.8<AC2<20
0.00713758 0.0136739 0.00159606 0.019684 0.023307 AC1<0, 7<AC2<20
0.00710231 0.0128828 0.00145419 0.0183879 0.0233674 AC1<0, 7.2<AC2<20
0.00705192 0.0122048 0.00144 0.0171081 0.0234278 AC1<0, 7.4<AC2<20
0.00702673 0.0113007 0.00139035 0.015812 0.0186577 AC1<0, 7.6<AC2<20
0.00700909 0.0101706 0.00139035 0.01322 0.0186577 AC1<0, 7.8<AC2<20
0.00697382 0.0101706 0.00130522 0.0132362 0.0187181 AC1<0, 8<AC2<20
0.00693351 0.00994463 0.00126266 0.0132524 0.0163028 AC1<0, 8.2<AC2<20
0.00690328 0.00904057 0.00120591 0.0126043 0.0138876 AC1<0, 8.4<AC2<20
0.00686296 0.00892756 0.00117754 0.0126043 0.0114724 AC1<0, 8.6<AC2<20
0.0068151 0.00892756 0.00117045 0.0126043 0.0114724 AC1<0, 8.8<AC2<20
0.00674959 0.00847553 0.00113498 0.0119725 0.0114724 AC1<0, 9<AC2<20
0.00668408 0.00870155 0.00106404 0.0119725 0.0114724 AC1<0, 9.2<AC2<20
0.00665385 0.00824952 0.00102148 0.0119887 0.0114724 AC1<0, 9.4<AC2<20
0.00659842 0.00768448 0.00100729 0.0113407 0.0114724 AC1<0, 9.6<AC2<20
0.00655811 0.00723246 0.000971824 0.0100446 0.0114724 AC1<0, 9.8<AC2<20
0.00648253 0.00700644 0.000950543 0.0100608 0.0114724 AC1<0, 10<AC2<20
