1 1 1 1 1 z_sum<0, z_diff<0
1 1 1 1 1 z_sum<5, z_diff<0
1 1 1 1 1 z_sum<10, z_diff<0
1 1 1 1 1 z_sum<15, z_diff<0
1 1 1 1 1 z_sum<20, z_diff<0
1 1 1 1 1 z_sum<25, z_diff<0
1 1 1 1 1 z_sum<30, z_diff<0
1 1 1 1 1 z_sum<35, z_diff<0
1 1 1 1 1 z_sum<40, z_diff<0
1 1 1 1 1 z_sum<45, z_diff<0
1 1 1 1 1 z_sum<50, z_diff<0
1 1 1 1 1 z_sum<55, z_diff<0
1 1 1 1 1 z_sum<60, z_diff<0
1 1 1 1 1 z_sum<65, z_diff<0
1 1 1 1 1 z_sum<70, z_diff<0
1 1 1 1 1 z_sum<75, z_diff<0
1 1 1 1 1 z_sum<80, z_diff<0
1 1 1 1 1 z_sum<85, z_diff<0
1 1 1 1 1 z_sum<90, z_diff<0
1 1 1 1 1 z_sum<95, z_diff<0
1 1 1 1 1 z_sum<100, z_diff<0
1 1 1 1 1 z_sum<105, z_diff<0
1 1 1 1 1 z_sum<110, z_diff<0
1 1 1 1 1 z_sum<115, z_diff<0
1 1 1 1 1 z_sum<120, z_diff<0
1 1 1 1 1 z_sum<125, z_diff<0
1 1 1 1 1 z_sum<130, z_diff<0
1 1 1 1 1 z_sum<135, z_diff<0
1 1 1 1 1 z_sum<140, z_diff<0
1 1 1 1 1 z_sum<145, z_diff<0
1 1 1 1 1 z_sum<150, z_diff<0
1 1 1 1 1 z_sum<155, z_diff<0
1 1 1 1 1 z_sum<160, z_diff<0
1 1 1 1 1 z_sum<165, z_diff<0
1 1 1 1 1 z_sum<170, z_diff<0
1 1 1 1 1 z_sum<175, z_diff<0
1 1 1 1 1 z_sum<180, z_diff<0
1 1 1 1 1 z_sum<185, z_diff<0
1 1 1 1 1 z_sum<190, z_diff<0
1 1 1 1 1 z_sum<195, z_diff<0
1 1 1 1 1 z_sum<200, z_diff<0
1 1 1 1 1 z_sum<205, z_diff<0
1 1 1 1 1 z_sum<210, z_diff<0
1 1 1 1 1 z_sum<215, z_diff<0
1 1 1 1 1 z_sum<220, z_diff<0
1 1 1 1 1 z_sum<225, z_diff<0
1 1 1 1 1 z_sum<230, z_diff<0
1 1 1 1 1 z_sum<235, z_diff<0
1 1 1 1 1 z_sum<240, z_diff<0
1 1 1 1 1 z_sum<245, z_diff<0
1 1 1 1 1 z_sum<250, z_diff<0
1 1 1 1 1 z_sum<255, z_diff<0
1 1 1 1 1 z_sum<260, z_diff<0
1 1 1 1 1 z_sum<265, z_diff<0
1 1 1 1 1 z_sum<270, z_diff<0
1 1 1 1 1 z_sum<275, z_diff<0
1 1 1 1 1 z_sum<280, z_diff<0
1 1 1 1 1 z_sum<285, z_diff<0
1 1 1 1 1 z_sum<290, z_diff<0
1 1 1 1 1 z_sum<295, z_diff<0
1 1 1 1 1 z_sum<300, z_diff<0
1 1 1 1 1 z_sum<305, z_diff<0
1 1 1 1 1 z_sum<310, z_diff<0
1 1 1 1 1 z_sum<315, z_diff<0
1 1 1 1 1 z_sum<320, z_diff<0
1 1 1 1 1 z_sum<325, z_diff<0
1 1 1 1 1 z_sum<330, z_diff<0
1 1 1 1 1 z_sum<335, z_diff<0
1 1 1 1 1 z_sum<340, z_diff<0
1 1 1 1 1 z_sum<345, z_diff<0
1 1 1 1 1 z_sum<350, z_diff<0
1 1 1 1 1 z_sum<355, z_diff<0
1 1 1 1 1 z_sum<360, z_diff<0
1 1 1 1 1 z_sum<365, z_diff<0
1 1 1 1 1 z_sum<370, z_diff<0
1 1 1 1 1 z_sum<375, z_diff<0
1 1 1 1 1 z_sum<380, z_diff<0
1 1 1 1 1 z_sum<385, z_diff<0
1 1 1 1 1 z_sum<390, z_diff<0
1 1 1 1 1 z_sum<395, z_diff<0
1 1 1 1 1 z_sum<400, z_diff<0
1 1 1 1 1 z_sum<405, z_diff<0
1 1 1 1 1 z_sum<410, z_diff<0
1 1 1 1 1 z_sum<415, z_diff<0
1 1 1 1 1 z_sum<420, z_diff<0
1 1 1 1 1 z_sum<425, z_diff<0
1 1 1 1 1 z_sum<430, z_diff<0
1 1 1 1 1 z_sum<435, z_diff<0
1 1 1 1 1 z_sum<440, z_diff<0
1 1 1 1 1 z_sum<445, z_diff<0
1 1 1 1 1 z_sum<450, z_diff<0
1 1 1 1 1 z_sum<455, z_diff<0
1 1 1 1 1 z_sum<460, z_diff<0
1 1 1 1 1 z_sum<465, z_diff<0
1 1 1 1 1 z_sum<470, z_diff<0
1 1 1 1 1 z_sum<475, z_diff<0
1 1 1 1 1 z_sum<480, z_diff<0
1 1 1 1 1 z_sum<485, z_diff<0
1 1 1 1 1 z_sum<490, z_diff<0
1 1 1 1 1 z_sum<495, z_diff<0
0.000152515 0.0029304 0.000760312 0.011701 0.0199302 z_sum<0, z_diff<1
0.00960842 0.0205128 0.0233796 0.03467 0.038864 z_sum<5, z_diff<1
0.0186068 0.0424908 0.0391561 0.0694768 0.0386148 z_sum<10, z_diff<1
0.0271476 0.0652015 0.0581638 0.127543 0.0984056 z_sum<15, z_diff<1
0.0367179 0.100366 0.075651 0.232181 0.118087 z_sum<20, z_diff<1
0.0467457 0.117949 0.090287 0.278633 0.157449 z_sum<25, z_diff<1
0.0550578 0.12674 0.106634 0.301743 0.1572 z_sum<30, z_diff<1
0.063713 0.150183 0.129253 0.313005 0.176383 z_sum<35, z_diff<1
0.074389 0.180952 0.142939 0.382771 0.195815 z_sum<40, z_diff<1
0.0821291 0.205128 0.163087 0.417584 0.214998 z_sum<45, z_diff<1
0.0903268 0.222711 0.178863 0.452687 0.253612 z_sum<50, z_diff<1
0.098105 0.240293 0.201293 0.487787 0.293224 z_sum<55, z_diff<1
0.107332 0.259341 0.221821 0.522747 0.332835 z_sum<60, z_diff<1
0.116674 0.27326 0.237787 0.545857 0.372197 z_sum<65, z_diff<1
0.126587 0.302564 0.256415 0.592516 0.43149 z_sum<70, z_diff<1
0.135852 0.323077 0.274473 0.639028 0.430493 z_sum<75, z_diff<1
0.144088 0.336996 0.29177 0.673838 0.470354 z_sum<80, z_diff<1
0.151028 0.347985 0.309637 0.697094 0.490284 z_sum<85, z_diff<1
0.157853 0.356777 0.330926 0.720496 0.489038 z_sum<90, z_diff<1
0.167575 0.368498 0.349933 0.731759 0.48854 z_sum<95, z_diff<1
0.175773 0.389011 0.361148 0.755015 0.548331 z_sum<100, z_diff<1
0.183475 0.405128 0.374263 0.755016 0.607374 z_sum<105, z_diff<1
0.19194 0.424908 0.38909 0.78895 0.605879 z_sum<110, z_diff<1
0.209479 0.442491 0.408287 0.811475 0.622571 z_sum<115, z_diff<1
0.29767 0.503297 0.480707 0.852143 0.683857 z_sum<120, z_diff<1
0.609715 0.704029 0.739973 0.892103 0.772297 z_sum<125, z_diff<1
0.90056 0.917216 0.936704 0.946092 0.953911 z_sum<130, z_diff<1
0.975331 0.981685 0.985174 0.966426 0.983308 z_sum<135, z_diff<1
0.991192 0.991941 0.995248 0.977544 1.001 z_sum<140, z_diff<1
0.995158 0.994872 0.996579 0.988952 1.00025 z_sum<145, z_diff<1
0.996988 0.994139 0.99886 0.988514 1 z_sum<150, z_diff<1
0.997903 0.994139 0.99886 0.988514 1 z_sum<155, z_diff<1
0.998513 0.994139 0.99886 0.988515 1 z_sum<160, z_diff<1
0.998513 0.994139 0.998669 0.988514 1 z_sum<165, z_diff<1
0.998818 0.994139 0.998669 0.988368 1 z_sum<170, z_diff<1
0.99878 0.994139 0.998669 0.988368 1 z_sum<175, z_diff<1
0.99878 0.994139 0.998479 0.988368 1 z_sum<180, z_diff<1
0.999085 0.99707 0.99924 0.988368 1 z_sum<185, z_diff<1
0.999085 0.99707 0.99924 0.988368 1 z_sum<190, z_diff<1
0.999085 0.99707 0.99924 0.988368 1 z_sum<195, z_diff<1
0.999085 0.99707 0.99924 0.988368 1 z_sum<200, z_diff<1
0.999237 0.99707 0.99924 0.988368 1 z_sum<205, z_diff<1
0.999237 1 1 1.00007 1 z_sum<210, z_diff<1
0.99939 1 1 1.00007 1 z_sum<215, z_diff<1
0.99939 1 1 1.00007 1 z_sum<220, z_diff<1
0.999695 1 1 1.00007 1 z_sum<225, z_diff<1
0.999695 1 1 1.00007 1 z_sum<230, z_diff<1
0.999695 1 1 1.00007 1 z_sum<235, z_diff<1
0.999695 1 1 1.00007 1 z_sum<240, z_diff<1
0.999695 1 1 1.00007 1 z_sum<245, z_diff<1
0.999695 1 1 1.00007 1 z_sum<250, z_diff<1
0.999695 1 1 1.00007 1 z_sum<255, z_diff<1
0.999695 1 1 1.00007 1 z_sum<260, z_diff<1
0.999847 1 1 1.00007 1 z_sum<265, z_diff<1
1 1 1 1.00007 1 z_sum<270, z_diff<1
1 1 1 1.00007 1 z_sum<275, z_diff<1
1 1 1 1.00007 1 z_sum<280, z_diff<1
1 1 1 1.00007 1 z_sum<285, z_diff<1
1 1 1 1.00007 1 z_sum<290, z_diff<1
1 1 1 1.00007 1 z_sum<295, z_diff<1
1 1 1 1.00007 1 z_sum<300, z_diff<1
1 1 1 1.00007 1 z_sum<305, z_diff<1
1 1 1 1.00007 1 z_sum<310, z_diff<1
1 1 1 1.00007 1 z_sum<315, z_diff<1
1 1 1 1.00007 1 z_sum<320, z_diff<1
1 1 1 1.00007 1 z_sum<325, z_diff<1
1 1 1 1.00007 1 z_sum<330, z_diff<1
1 1 1 1.00007 1 z_sum<335, z_diff<1
1 1 1 1.00007 1 z_sum<340, z_diff<1
1 1 1 1.00007 1 z_sum<345, z_diff<1
1 1 1 1.00007 1 z_sum<350, z_diff<1
1 1 1 1.00007 1 z_sum<355, z_diff<1
1 1 1 1.00007 1 z_sum<360, z_diff<1
1 1 1 1.00007 1 z_sum<365, z_diff<1
1 1 1 1.00007 1 z_sum<370, z_diff<1
1 1 1 1.00007 1 z_sum<375, z_diff<1
1 1 1 1.00007 1 z_sum<380, z_diff<1
1 1 1 1.00007 1 z_sum<385, z_diff<1
1 1 1 1.00007 1 z_sum<390, z_diff<1
1 1 1 1.00007 1 z_sum<395, z_diff<1
1 1 1 1.00007 1 z_sum<400, z_diff<1
1 1 1 1.00007 1 z_sum<405, z_diff<1
1 1 1 1.00007 1 z_sum<410, z_diff<1
1 1 1 1.00007 1 z_sum<415, z_diff<1
1 1 1 1.00007 1 z_sum<420, z_diff<1
1 1 1 1.00007 1 z_sum<425, z_diff<1
1 1 1 1.00007 1 z_sum<430, z_diff<1
1 1 1 1.00007 1 z_sum<435, z_diff<1
1 1 1 1.00007 1 z_sum<440, z_diff<1
1 1 1 1.00007 1 z_sum<445, z_diff<1
1 1 1 1.00007 1 z_sum<450, z_diff<1
1 1 1 1.00007 1 z_sum<455, z_diff<1
1 1 1 1.00007 1 z_sum<460, z_diff<1
1 1 1 1.00007 1 z_sum<465, z_diff<1
1 1 1 1.00007 1 z_sum<470, z_diff<1
1 1 1 1.00007 1 z_sum<475, z_diff<1
1 1 1 1.00007 1 z_sum<480, z_diff<1
1 1 1 1.00007 1 z_sum<485, z_diff<1
1 1 1 1.00007 1 z_sum<490, z_diff<1
1 1 1 1.00007 1 z_sum<495, z_diff<1
7.74758e-05 0.00150094 0.000390434 0.00568488 0.0115042 z_sum<0, z_diff<2
0.00927773 0.0195122 0.020205 0.0223868 0.0450102 z_sum<5, z_diff<2
0.0180131 0.0427767 0.0387506 0.0505255 0.067731 z_sum<10, z_diff<2
0.0256639 0.0634146 0.0573939 0.0843221 0.113748 z_sum<15, z_diff<2
0.0362974 0.0930582 0.0730112 0.157969 0.147973 z_sum<20, z_diff<2
0.045304 0.114071 0.0929234 0.208708 0.169831 z_sum<25, z_diff<2
0.0528385 0.124578 0.107272 0.231305 0.169543 z_sum<30, z_diff<2
0.0619419 0.142589 0.132162 0.253761 0.180328 z_sum<35, z_diff<2
0.0719944 0.171857 0.146901 0.327381 0.202762 z_sum<40, z_diff<2
0.0808654 0.19137 0.167301 0.372647 0.213547 z_sum<45, z_diff<2
0.0890585 0.218386 0.185554 0.429496 0.269917 z_sum<50, z_diff<2
0.0969416 0.238274 0.205466 0.480447 0.292638 z_sum<55, z_diff<2
0.105696 0.255535 0.226061 0.502974 0.315503 z_sum<60, z_diff<2
0.11478 0.275797 0.244314 0.542485 0.360944 z_sum<65, z_diff<2
0.123516 0.302439 0.265398 0.582137 0.418034 z_sum<70, z_diff<2
0.132077 0.318949 0.282089 0.615891 0.417171 z_sum<75, z_diff<2
0.14027 0.334334 0.299073 0.649716 0.462756 z_sum<80, z_diff<2
0.14794 0.35197 0.315081 0.677999 0.496838 z_sum<85, z_diff<2
0.155242 0.365103 0.334114 0.706353 0.507623 z_sum<90, z_diff<2
0.163435 0.381238 0.349927 0.740107 0.506904 z_sum<95, z_diff<2
0.171144 0.400375 0.367008 0.768247 0.564137 z_sum<100, z_diff<2
0.178253 0.415385 0.381747 0.779547 0.597643 z_sum<105, z_diff<2
0.186058 0.427392 0.39512 0.807262 0.59563 z_sum<110, z_diff<2
0.204788 0.44878 0.42001 0.828867 0.626404 z_sum<115, z_diff<2
0.294466 0.507317 0.493509 0.857014 0.6845 z_sum<120, z_diff<2
0.608689 0.726079 0.749244 0.919276 0.835036 z_sum<125, z_diff<2
0.899262 0.931332 0.94163 0.960031 0.972286 z_sum<130, z_diff<2
0.975886 0.98424 0.989946 0.984042 0.992389 z_sum<135, z_diff<2
0.990742 0.996248 0.997072 0.989157 1.00159 z_sum<140, z_diff<2
0.995235 0.997373 0.99795 0.9947 1.00073 z_sum<145, z_diff<2
0.996765 0.996998 0.999024 0.994417 1.00029 z_sum<150, z_diff<2
0.997695 0.996998 0.999024 0.994417 1.0003 z_sum<155, z_diff<2
0.99816 0.996998 0.999024 0.994415 1.00029 z_sum<160, z_diff<2
0.998237 0.996998 0.998926 0.994415 1.00029 z_sum<165, z_diff<2
0.998547 0.996998 0.998926 0.994273 1.00029 z_sum<170, z_diff<2
0.998683 0.996998 0.998926 0.994273 1.00029 z_sum<175, z_diff<2
0.99876 0.996998 0.998829 0.994273 1.00029 z_sum<180, z_diff<2
0.998993 0.998499 0.999219 0.994273 1.00029 z_sum<185, z_diff<2
0.998993 0.998499 0.99961 0.994273 1.00029 z_sum<190, z_diff<2
0.99907 0.998499 0.99961 0.994273 1.00029 z_sum<195, z_diff<2
0.999148 0.998499 0.99961 0.994273 1.00029 z_sum<200, z_diff<2
0.999303 0.998499 0.99961 0.994273 1.00029 z_sum<205, z_diff<2
0.99938 1 1 0.999958 1.00029 z_sum<210, z_diff<2
0.999535 1 1 0.999958 1.00014 z_sum<215, z_diff<2
0.999613 1 1 0.999958 1.00014 z_sum<220, z_diff<2
0.999768 1 1 0.999958 1.00014 z_sum<225, z_diff<2
0.999768 1 1 0.999958 1.00014 z_sum<230, z_diff<2
0.999768 1 1 0.999958 1.00014 z_sum<235, z_diff<2
0.999768 1 1 0.999958 1.00014 z_sum<240, z_diff<2
0.999768 1 1 0.999958 1.00014 z_sum<245, z_diff<2
0.999768 1 1 0.999958 1.00014 z_sum<250, z_diff<2
