3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.005, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.01, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.015, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.02, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.025, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.03, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.035, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.04, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.045, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.05, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.055, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.06, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.065, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.07, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.075, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.08, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.085, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.09, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.095, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.1, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.105, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.11, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.115, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.12, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.125, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.13, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.135, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.14, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.145, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.15, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.155, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.16, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.165, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.17, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.175, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.18, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.185, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.19, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.195, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.2, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.205, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.21, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.215, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.22, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.225, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.23, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.235, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.24, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.245, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.25, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.255, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.26, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.265, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.27, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.275, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.28, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.285, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.29, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.295, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.3, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.305, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.31, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.315, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.32, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.325, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.33, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.335, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.34, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.345, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.35, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.355, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.36, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.365, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.37, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.375, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.38, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.385, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.39, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.395, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.4, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.405, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.41, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.415, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.42, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.425, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.43, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.435, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.44, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.445, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.45, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.455, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.46, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.465, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.47, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.475, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.48, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.485, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.49, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0.495, z_diff<0
3.87901e-06 0.000112771 2.52481e-05 0.000609434 0.00224266 z_sum<0, z_diff<0.001
0.000397598 0.00112771 0.00145176 0.00181307 0.00431712 z_sum<0.005, z_diff<0.001
0.000799075 0.00293206 0.0025753 0.00723703 0.00420498 z_sum<0.01, z_diff<0.001
0.00129947 0.00411615 0.00387558 0.0114726 0.0107648 z_sum<0.015, z_diff<0.001
0.001699 0.00642797 0.00512536 0.0187706 0.0151379 z_sum<0.02, z_diff<0.001
0.00213927 0.00733014 0.00613528 0.0217302 0.0216977 z_sum<0.025, z_diff<0.001
0.00251941 0.00823231 0.00723357 0.0235851 0.0283136 z_sum<0.03, z_diff<0.001
0.0029849 0.0100367 0.00867271 0.0253677 0.0325185 z_sum<0.035, z_diff<0.001
0.00347171 0.0119538 0.00975838 0.0314163 0.0412649 z_sum<0.04, z_diff<0.001
0.00386155 0.0132506 0.0109829 0.0356671 0.0433394 z_sum<0.045, z_diff<0.001
0.00422812 0.0149986 0.0120181 0.0399332 0.0520857 z_sum<0.05, z_diff<0.001
0.00466063 0.016521 0.0135708 0.044184 0.0609442 z_sum<0.055, z_diff<0.001
0.0051455 0.0177615 0.0147701 0.0472312 0.0674479 z_sum<0.06, z_diff<0.001
0.0055237 0.0188892 0.0158053 0.0496689 0.0740638 z_sum<0.065, z_diff<0.001
0.0059504 0.0205808 0.0169036 0.0545139 0.0805675 z_sum<0.07, z_diff<0.001
0.00640812 0.0219904 0.0176736 0.0593589 0.0802872 z_sum<0.075, z_diff<0.001
0.00677081 0.0230617 0.0186331 0.0623908 0.0846603 z_sum<0.08, z_diff<0.001
0.00711992 0.0237948 0.019845 0.0635335 0.0865666 z_sum<0.085, z_diff<0.001
0.00750006 0.0245842 0.0211453 0.0653466 0.0887532 z_sum<0.09, z_diff<0.001
0.00796166 0.0252608 0.0221047 0.0659103 0.0930142 z_sum<0.095, z_diff<0.001
0.0083418 0.0267268 0.0230894 0.0683328 0.101817 z_sum<0.1, z_diff<0.001
0.00870061 0.0275162 0.0240362 0.0689423 0.110451 z_sum<0.105, z_diff<0.001
0.00914476 0.028362 0.0249325 0.0718828 0.114263 z_sum<0.11, z_diff<0.001
0.0100292 0.0291514 0.0260308 0.0741834 0.117347 z_sum<0.115, z_diff<0.001
0.0141816 0.0324218 0.0304492 0.0766211 0.127663 z_sum<0.12, z_diff<0.001
0.0290984 0.044883 0.0458252 0.0793483 0.150931 z_sum<0.125, z_diff<0.001
0.0427583 0.0568931 0.058323 0.0805679 0.15641 z_sum<0.13, z_diff<0.001
0.0464356 0.0594305 0.0609741 0.0809757 0.155405 z_sum<0.135, z_diff<0.001
0.0471066 0.0599944 0.0615548 0.0814948 0.15606 z_sum<0.14, z_diff<0.001
0.0472618 0.0601071 0.0616053 0.0820879 0.156102 z_sum<0.145, z_diff<0.001
0.0473316 0.0600507 0.061681 0.082047 0.156103 z_sum<0.15, z_diff<0.001
0.0473743 0.0600507 0.061681 0.0820498 0.156108 z_sum<0.155, z_diff<0.001
0.0474131 0.0600507 0.0617063 0.0820511 0.156131 z_sum<0.16, z_diff<0.001
0.0474131 0.0599944 0.0616936 0.0820515 0.15614 z_sum<0.165, z_diff<0.001
0.0474286 0.0599944 0.0616936 0.082037 0.156156 z_sum<0.17, z_diff<0.001
0.0474267 0.0599944 0.0616936 0.0820387 0.156123 z_sum<0.175, z_diff<0.001
0.0474267 0.0599944 0.0616684 0.0820402 0.156165 z_sum<0.18, z_diff<0.001
0.0474344 0.0601071 0.0617189 0.0820437 0.155988 z_sum<0.185, z_diff<0.001
0.0474344 0.0601071 0.0617189 0.0820439 0.155982 z_sum<0.19, z_diff<0.001
0.0474344 0.0601071 0.0617189 0.0820439 0.155982 z_sum<0.195, z_diff<0.001
0.0474383 0.0601071 0.0617189 0.0820439 0.155982 z_sum<0.2, z_diff<0.001
0.0474422 0.0602199 0.0617189 0.0820442 0.15598 z_sum<0.205, z_diff<0.001
0.0474422 0.0603327 0.0617441 0.0826442 0.155896 z_sum<0.21, z_diff<0.001
0.0474461 0.0603327 0.0617694 0.0826454 0.155913 z_sum<0.215, z_diff<0.001
0.0474461 0.0603327 0.0617568 0.0826454 0.155913 z_sum<0.22, z_diff<0.001
0.0474538 0.0603327 0.0617568 0.0826454 0.155913 z_sum<0.225, z_diff<0.001
0.0474577 0.0603327 0.0617568 0.0826454 0.155913 z_sum<0.23, z_diff<0.001
0.0474577 0.0603327 0.0617568 0.0826454 0.155913 z_sum<0.235, z_diff<0.001
0.0474577 0.0603327 0.0617568 0.0826454 0.155913 z_sum<0.24, z_diff<0.001
0.0474577 0.0603327 0.0617568 0.0826454 0.155913 z_sum<0.245, z_diff<0.001
0.0474577 0.0603327 0.0617568 0.0826454 0.155913 z_sum<0.25, z_diff<0.001
0.0474577 0.0603327 0.0617568 0.0826454 0.155913 z_sum<0.255, z_diff<0.001
0.0474577 0.0603327 0.0617568 0.0826454 0.155913 z_sum<0.26, z_diff<0.001
0.0474616 0.0603327 0.0617568 0.0826454 0.155913 z_sum<0.265, z_diff<0.001
0.0474655 0.0603327 0.0617568 0.0826454 0.155913 z_sum<0.27, z_diff<0.001
0.0474655 0.0603327 0.0617568 0.0826454 0.155913 z_sum<0.275, z_diff<0.001
0.0474655 0.0603327 0.0617568 0.082646 0.15592 z_sum<0.28, z_diff<0.001
