#Acceptance by SIMC
#1.9<pe[GeV/c]<2.3, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0.00263549 0.000825779
28 1.07686 0.0137262
29 3.46251 0.0201754
30 4.99057 0.0218059
31 5.49632 0.0221337
32 5.47761 0.0221231
33 5.5543 0.022166
34 5.61781 0.0222001
35 5.58882 0.0221846
36 5.57301 0.0221761
37 5.50159 0.0221367
38 5.64733 0.0222155
39 5.63626 0.0222097
40 5.61386 0.022198
41 5.63178 0.0222074
42 5.66973 0.022227
43 5.62519 0.0222039
44 5.59805 0.0221896
45 5.6078 0.0221948
46 5.5369 0.0221564
47 5.5622 0.0221703
48 5.54428 0.0221605
49 5.54349 0.02216
50 5.56273 0.0221706
51 5.55377 0.0221657
52 5.51819 0.022146
53 5.59146 0.0221861
54 5.45547 0.0221104
55 5.41804 0.0220886
56 5.50554 0.0221389
57 5.4415 0.0221023
58 5.31895 0.0220285
59 5.37667 0.0220639
60 5.30024 0.0220169
61 5.27283 0.0219995
62 5.23171 0.021973
63 5.16767 0.0219306
64 5.15133 0.0219196
65 5.06199 0.0218575
66 5.01191 0.0218215
67 4.9679 0.0217891
68 4.79053 0.0216513
69 4.71727 0.0215908
70 4.61211 0.0215003
71 4.60078 0.0214903
72 4.46215 0.0213633
73 4.21758 0.0211189
74 3.77982 0.0206098
75 3.30701 0.0199398
76 2.70955 0.0188715
77 1.5191 0.0156072
78 0 0
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
