#Acceptance by SIMC
#1.6<pe[GeV/c]<2.0, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0 0
36 0.377045 0.00828249
37 4.22736 0.0197165
38 5.45098 0.0206297
39 5.52877 0.0206708
40 5.47094 0.0206404
41 5.42849 0.0206175
42 5.47783 0.0206441
43 5.4636 0.0206365
44 5.43675 0.020622
45 5.5033 0.0206576
46 5.40026 0.0206019
47 5.37456 0.0205875
48 5.38511 0.0205935
49 5.39315 0.020598
50 5.36239 0.0205807
51 5.40714 0.0206057
52 5.30479 0.0205475
53 5.32866 0.0205614
54 5.28643 0.0205367
55 5.27817 0.0205318
56 5.26532 0.0205242
57 5.24811 0.0205138
58 5.17789 0.0204708
59 5.22379 0.0204991
60 5.18776 0.0204769
61 5.17445 0.0204686
62 5.1733 0.0204679
63 5.13865 0.020446
64 5.16114 0.0204602
65 5.0877 0.0204131
66 5.06865 0.0204006
67 4.97938 0.0203403
68 4.92867 0.0203048
69 4.89746 0.0202825
70 4.86303 0.0202576
71 4.74554 0.0201692
72 4.66774 0.020108
73 4.55988 0.0200193
74 4.39695 0.0198766
75 4.30584 0.0197921
76 3.71859 0.0191578
77 2.998 0.0181236
78 2.31551 0.0167908
79 0.696948 0.0107623
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
Acceptance (average)=4.79241
