#Acceptance by SIMC
#1.9<pe[GeV/c]<2.3, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0.355528 0.00864965
26 2.36904 0.0181227
27 4.36042 0.0212649
28 5.2665 0.0219955
29 5.61939 0.0222009
30 5.71348 0.0222491
31 5.76672 0.0222752
32 5.84183 0.0223106
33 5.73457 0.0222595
34 5.80335 0.0222927
35 5.8131 0.0222973
36 5.87267 0.0223247
37 5.70558 0.0222451
38 5.6837 0.0222341
39 5.82602 0.0223033
40 5.75802 0.022271
41 5.80757 0.0222947
42 5.67632 0.0222304
43 5.7285 0.0222565
44 5.73167 0.0222581
45 5.64311 0.0222133
46 5.60859 0.0221952
47 5.60674 0.0221942
48 5.65471 0.0222193
49 5.46706 0.0221171
50 5.55614 0.022167
51 5.51846 0.0221462
52 5.44967 0.0221071
53 5.4523 0.0221086
54 5.40618 0.0220816
55 5.39459 0.0220747
56 5.31658 0.0220271
57 5.30656 0.0220208
58 5.32554 0.0220326
59 5.27309 0.0219997
60 5.28205 0.0220054
61 5.14817 0.0219174
62 5.10995 0.0218912
63 5.05935 0.0218557
64 4.9679 0.0217891
65 4.82638 0.0216801
66 4.82216 0.0216767
67 4.71489 0.0215888
68 4.56704 0.0214601
69 4.52672 0.0214234
70 4.48482 0.0213846
71 4.37861 0.0212828
72 4.33828 0.0212429
73 4.24314 0.0211458
74 4.17066 0.0210689
75 3.96615 0.0208384
76 3.72184 0.0205348
77 2.50951 0.0184458
78 0 0
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=5.04247
