#Acceptance by SIMC
#1.9<pe[GeV/c]<2.3, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0.28338 0.00782178
26 2.54093 0.0185173
27 4.37459 0.0212813
28 5.15355 0.0219236
29 5.44458 0.0221066
30 5.49308 0.0221344
31 5.53368 0.0221571
32 5.54712 0.0221645
33 5.5263 0.022153
34 5.55661 0.0221697
35 5.58482 0.022185
36 5.53658 0.0221587
37 5.49809 0.0221373
38 5.55213 0.0221673
39 5.54132 0.0221614
40 5.5002 0.0221384
41 5.49756 0.022137
42 5.53921 0.0221602
43 5.49282 0.0221343
44 5.45565 0.022113
45 5.47463 0.0221239
46 5.42982 0.022098
47 5.4256 0.0220955
48 5.45618 0.0221133
49 5.48306 0.0221287
50 5.34335 0.0220461
51 5.36919 0.0220619
52 5.30618 0.0220231
53 5.38342 0.0220705
54 5.34362 0.0220463
55 5.29564 0.0220165
56 5.30302 0.0220211
57 5.18571 0.0219452
58 5.16304 0.02193
59 5.19889 0.021954
60 5.1496 0.0219209
61 5.10821 0.0218925
62 5.09767 0.0218851
63 5.0982 0.0218855
64 5.07421 0.0218687
65 4.9917 0.0218092
66 4.91262 0.0217499
67 4.84487 0.0216972
68 4.71913 0.0215948
69 4.73679 0.0216096
70 4.61447 0.0215048
71 4.54383 0.0214415
72 4.50982 0.0214103
73 4.3825 0.0212891
74 4.32978 0.0212368
75 4.184 0.0210856
76 3.92593 0.020793
77 2.5723 0.0185857
78 0 0
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
Acceptance (average)=4.97376
