#Acceptance by SIMC
#1.6<pe[GeV/c]<2.0, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0.00651736 0.000381162
34 1.64327 0.00473584
35 4.27782 0.00625037
36 5.27353 0.00649184
37 5.60989 0.00654965
38 5.64697 0.00655538
39 5.64376 0.00655489
40 5.63073 0.00655289
41 5.59438 0.00654722
42 5.62733 0.00655236
43 5.60014 0.00654812
44 5.58561 0.00654583
45 5.57873 0.00654474
46 5.56108 0.00654192
47 5.52902 0.00653672
48 5.5195 0.00653516
49 5.49081 0.0065304
50 5.48562 0.00652953
51 5.46543 0.00652613
52 5.46837 0.00652663
53 5.42006 0.00651834
54 5.39367 0.00651372
55 5.38518 0.00651222
56 5.35941 0.00650762
57 5.35076 0.00650607
58 5.3189 0.00650027
59 5.29405 0.00649568
60 5.25088 0.00648756
61 5.2336 0.00648426
62 5.21444 0.00648056
63 5.18114 0.00647405
64 5.1316 0.00646415
65 5.10684 0.00645911
66 5.04706 0.00644667
67 4.99276 0.00643505
68 4.93895 0.00642322
69 4.88171 0.00641029
70 4.79646 0.00639036
71 4.69142 0.00636466
72 4.60716 0.0063431
73 4.49152 0.00631211
74 4.39702 0.00628554
75 4.30419 0.00625831
76 4.19076 0.00622347
77 4.06089 0.00618136
78 3.84584 0.00610615
79 1.3599 0.00442362
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
Acceptance (average)=4.88265
