#Acceptance by SIMC
#1.6<pe[GeV/c]<2.0, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0.0261614 0.0023795
34 1.65184 0.0150035
35 4.01256 0.0194957
36 5.32728 0.0205606
37 5.72429 0.0207665
38 5.84799 0.0208216
39 5.83628 0.0208166
40 5.89365 0.0208409
41 5.80347 0.0208023
42 5.90742 0.0208466
43 5.873 0.0208322
44 5.86405 0.0208284
45 5.81333 0.0208066
46 5.77226 0.0207884
47 5.73485 0.0207714
48 5.71213 0.0207609
49 5.6465 0.0207298
50 5.63915 0.0207262
51 5.5531 0.0206833
52 5.57329 0.0206936
53 5.45511 0.0206319
54 5.3858 0.0205938
55 5.36859 0.0205842
56 5.31879 0.0205556
57 5.29263 0.0205404
58 5.22057 0.0204971
59 5.1873 0.0204766
60 5.11753 0.0204325
61 5.06406 0.0203975
62 5.02253 0.0203697
63 5.03354 0.0203772
64 4.84123 0.0202416
65 4.80933 0.0202178
66 4.71846 0.0201482
67 4.6083 0.0200596
68 4.45294 0.0199268
69 4.41026 0.0198887
70 4.33935 0.0198236
71 4.25099 0.0197396
72 4.13556 0.0196247
73 4.01164 0.0194947
74 3.9304 0.0194056
75 3.87005 0.0193373
76 3.77665 0.019228
77 3.6525 0.0190758
78 3.39639 0.0187348
79 1.19883 0.0133451
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=4.78898
