#Acceptance by SIMC
#1.9<pe[GeV/c]<2.3, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0.283524 0.00247374
26 2.57238 0.00587668
27 4.35866 0.00672399
28 5.093 0.00691885
29 5.42637 0.00698655
30 5.50859 0.00700147
31 5.54454 0.00700778
32 5.54799 0.00700838
33 5.54106 0.00700718
34 5.55571 0.00700972
35 5.55413 0.00700944
36 5.56352 0.00701106
37 5.51539 0.00700267
38 5.53128 0.00700547
39 5.53793 0.00700663
40 5.52425 0.00700423
41 5.51537 0.00700267
42 5.51832 0.00700319
43 5.48211 0.00699674
44 5.45517 0.00699185
45 5.45683 0.00699216
46 5.43401 0.00698796
47 5.42755 0.00698677
48 5.42697 0.00698666
49 5.38952 0.00697964
50 5.37292 0.00697648
51 5.3668 0.00697531
52 5.34098 0.00697033
53 5.34361 0.00697084
54 5.30089 0.00696245
55 5.28086 0.00695845
56 5.2705 0.00695637
57 5.23379 0.00694889
58 5.20912 0.00694378
59 5.19824 0.00694151
60 5.17059 0.00693567
61 5.12476 0.00692582
62 5.09735 0.00691981
63 5.071 0.00691396
64 5.04665 0.00690848
65 4.95939 0.0068883
66 4.93134 0.00688162
67 4.87115 0.00686699
68 4.78004 0.00684401
69 4.71339 0.00682656
70 4.63467 0.00680522
71 4.56778 0.00678647
72 4.49823 0.00676635
73 4.41664 0.00674191
74 4.3314 0.0067154
75 4.18943 0.00666893
76 3.86229 0.00655009
77 2.59961 0.00589519
78 0 0
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
Acceptance (average)=4.9726
