#Acceptance by SIMC
#1.9<pe[GeV/c]<2.3, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0.225071 0.00704961
26 2.45944 0.018333
27 4.38783 0.0212919
28 5.10626 0.0218886
29 5.40223 0.0220792
30 5.49368 0.0221323
31 5.55614 0.022167
32 5.46522 0.022116
33 5.48946 0.0221299
34 5.55245 0.022165
35 5.5883 0.0221844
36 5.51239 0.0221428
37 5.53928 0.0221577
38 5.52425 0.0221494
39 5.45468 0.02211
40 5.55034 0.0221638
41 5.52109 0.0221476
42 5.50765 0.0221401
43 5.43939 0.0221011
44 5.41198 0.022085
45 5.4639 0.0221153
46 5.43702 0.0220997
47 5.45968 0.0221128
48 5.46311 0.0221148
49 5.43834 0.0221005
50 5.42147 0.0220906
51 5.34609 0.0220453
52 5.45863 0.0221122
53 5.36507 0.0220569
54 5.3764 0.0220637
55 5.3403 0.0220418
56 5.40803 0.0220827
57 5.37139 0.0220607
58 5.36981 0.0220598
59 5.36112 0.0220545
60 5.33423 0.022038
61 5.33107 0.0220361
62 5.27915 0.0220035
63 5.29049 0.0220107
64 5.30841 0.022022
65 5.19482 0.0219488
66 5.19903 0.0219516
67 5.20351 0.0219545
68 5.07174 0.0218644
69 5.09546 0.0218811
70 4.92705 0.0217584
71 4.85879 0.0217057
72 4.81293 0.0216693
73 4.76339 0.0216291
74 4.62186 0.0215089
75 4.51987 0.0214171
76 4.14457 0.0210407
77 2.83263 0.019115
78 0 0
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=5.07654
