#Acceptance by SIMC
#1.9<pe[GeV/c]<2.3, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0.278905 0.00771907
26 2.55338 0.0184319
27 4.25442 0.0210313
28 4.97915 0.0216675
29 5.369 0.0219277
30 5.45545 0.0219786
31 5.469 0.0219863
32 5.39217 0.0219416
33 5.50207 0.022005
34 5.40337 0.0219482
35 5.54373 0.0220281
36 5.46926 0.0219865
37 5.49894 0.0220033
38 5.46926 0.0219865
39 5.45962 0.021981
40 5.41587 0.0219556
41 5.43097 0.0219644
42 5.48358 0.0219946
43 5.45025 0.0219756
44 5.42655 0.0219619
45 5.40389 0.0219486
46 5.37915 0.0219338
47 5.37004 0.0219284
48 5.39712 0.0219445
49 5.35754 0.0219208
50 5.36092 0.0219229
51 5.30415 0.021888
52 5.32525 0.0219011
53 5.22316 0.0218365
54 5.26509 0.0218634
55 5.22577 0.0218382
56 5.17004 0.0218014
57 5.18019 0.0218082
58 5.144 0.0217839
59 5.0953 0.0217505
60 5.07212 0.0217344
61 5.04764 0.0217171
62 5.04191 0.021713
63 5.06613 0.0217301
64 4.92473 0.0216269
65 4.98306 0.0216704
66 4.90754 0.0216139
67 4.82264 0.0215479
68 4.78957 0.0215214
69 4.65441 0.0214088
70 4.58749 0.0213504
71 4.47186 0.0212451
72 4.44035 0.0212154
73 4.3604 0.0211381
74 4.29426 0.0210721
75 4.12629 0.0208953
76 3.79582 0.0205071
77 2.52343 0.0183665
78 0 0
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
Acceptance (average)=4.91351
