#Acceptance by SIMC
#1.9<pe[GeV/c]<2.3, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0.00265392 0.000831526
28 1.38773 0.0151559
29 4.36676 0.0213454
30 5.14701 0.0219931
31 5.28634 0.0220849
32 5.34075 0.022119
33 5.37233 0.0221383
34 5.40869 0.0221601
35 5.39303 0.0221508
36 5.42753 0.0221713
37 5.3718 0.0221379
38 5.40683 0.022159
39 5.40789 0.0221596
40 5.41028 0.0221611
41 5.38905 0.0221484
42 5.3856 0.0221463
43 5.4469 0.0221826
44 5.3442 0.0221211
45 5.41399 0.0221633
46 5.45088 0.0221849
47 5.36012 0.0221308
48 5.34207 0.0221198
49 5.38639 0.0221468
50 5.27705 0.022079
51 5.31049 0.0221001
52 5.28209 0.0220822
53 5.29351 0.0220894
54 5.32854 0.0221114
55 5.28395 0.0220834
56 5.21336 0.0220377
57 5.2951 0.0220904
58 5.25954 0.0220678
59 5.26989 0.0220744
60 5.31606 0.0221036
61 5.22318 0.0220441
62 5.19505 0.0220255
63 5.24361 0.0220575
64 5.1287 0.0219806
65 5.08915 0.021953
66 5.08624 0.021951
67 5.08066 0.0219471
68 4.92673 0.0218341
69 4.89648 0.0218109
70 4.8012 0.0217355
71 4.73804 0.0216836
72 4.65949 0.0216168
73 4.44638 0.0214229
74 3.90232 0.0208346
75 3.32456 0.0200369
76 2.49787 0.0184841
77 0.456474 0.00967928
78 0 0
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=4.82499
