#Acceptance by SIMC
#1.6<pe[GeV/c]<2.0, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0 0
36 0.14297 0.00534139
37 1.72367 0.0152281
38 2.27352 0.0166944
39 2.27053 0.0166874
40 2.26066 0.0166645
41 2.25103 0.0166419
42 2.27581 0.0166997
43 2.24231 0.0166214
44 2.25057 0.0166408
45 2.22119 0.0165715
46 2.24506 0.0166279
47 2.25217 0.0166446
48 2.25286 0.0166462
49 2.21959 0.0165676
50 2.23565 0.0166057
51 2.20903 0.0165424
52 2.24276 0.0166225
53 2.20788 0.0165397
54 2.24529 0.0166284
55 2.19411 0.0165066
56 2.20192 0.0165254
57 2.20467 0.016532
58 2.19044 0.0164978
59 2.14707 0.016392
60 2.16267 0.0164303
61 2.14638 0.0163903
62 2.17621 0.0164633
63 2.14248 0.0163806
64 2.1154 0.0163133
65 2.13789 0.0163693
66 2.09406 0.0162596
67 2.11724 0.0163179
68 2.1115 0.0163035
69 2.07822 0.0162193
70 2.03967 0.0161201
71 2.02521 0.0160823
72 1.98872 0.0159859
73 1.92539 0.0158142
74 1.86641 0.0156492
75 1.84507 0.0155883
76 1.57955 0.0147681
77 1.28145 0.0136837
78 1.0118 0.0125022
79 0.311871 0.00761665
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=2.00268
