#Acceptance by SIMC
#1.6<pe[GeV/c]<2.0, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0 0
36 0.384618 0.00835496
37 2.22005 0.0165687
38 2.95807 0.0180563
39 3.02003 0.0181602
40 2.90162 0.0179591
41 2.96909 0.0180749
42 2.9264 0.018002
43 2.9427 0.01803
44 2.94293 0.0180304
45 2.90965 0.0179731
46 2.97941 0.0180924
47 2.9248 0.0179993
48 2.93466 0.0180163
49 2.91424 0.017981
50 2.90965 0.0179731
51 2.89427 0.0179463
52 2.90001 0.0179563
53 2.90575 0.0179663
54 2.90231 0.0179603
55 2.90231 0.0179603
56 2.93765 0.0180214
57 2.94063 0.0180265
58 2.90667 0.0179679
59 2.89542 0.0179483
60 2.93214 0.0180119
61 2.91126 0.0179759
62 2.89359 0.0179451
63 2.86192 0.0178893
64 2.85985 0.0178856
65 2.9388 0.0180234
66 2.8314 0.0178348
67 2.83713 0.0178451
68 2.87798 0.0179177
69 2.83071 0.0178336
70 2.81533 0.0178058
71 2.77724 0.0177363
72 2.75337 0.0176921
73 2.69256 0.0175774
74 2.68384 0.0175607
75 2.55028 0.0172964
76 2.22716 0.0165856
77 1.80468 0.015471
78 1.33836 0.0139065
79 0.403436 0.00853116
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=2.67827
