#Acceptance by SIMC
#1.6<pe[GeV/c]<2.0, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0.0867327 0.00419887
34 2.44754 0.0169688
35 4.63239 0.0199464
36 5.3969 0.0204636
37 5.63989 0.0205893
38 5.66253 0.0206001
39 5.62245 0.0205808
40 5.61453 0.020577
41 5.61634 0.0205779
42 5.63876 0.0205887
43 5.59641 0.0205681
44 5.60796 0.0205737
45 5.53142 0.0205353
46 5.55406 0.0205468
47 5.46167 0.0204988
48 5.53368 0.0205365
49 5.4945 0.0205162
50 5.48997 0.0205138
51 5.35252 0.0204388
52 5.49043 0.020514
53 5.43087 0.0204822
54 5.36995 0.0204486
55 5.32308 0.020422
56 5.32579 0.0204235
57 5.25106 0.0203797
58 5.18698 0.0203408
59 5.21664 0.020359
60 5.20079 0.0203493
61 5.16161 0.020325
62 5.12697 0.0203032
63 5.0656 0.0202634
64 5.03842 0.0202455
65 5.02076 0.0202336
66 4.91047 0.0201575
67 4.87447 0.0201317
68 4.80177 0.0200783
69 4.73361 0.0200265
70 4.70621 0.0200052
71 4.53909 0.0198692
72 4.47341 0.0198128
73 4.36879 0.0197194
74 4.22975 0.0195883
75 4.18174 0.0195411
76 4.11086 0.0194696
77 3.91837 0.0192637
78 3.41858 0.0186416
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
Acceptance (average)=4.92296
