#Acceptance by SIMC
#1.6<pe[GeV/c]<2.0, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0.00046178 0.000325276
36 0.677432 0.0106692
37 2.24772 0.016685
38 2.31698 0.0168455
39 2.33684 0.0168905
40 2.30082 0.0168085
41 2.31537 0.0168418
42 2.30936 0.0168281
43 2.33753 0.0168921
44 2.27011 0.0167374
45 2.25372 0.0166991
46 2.27773 0.0167552
47 2.32807 0.0168706
48 2.28581 0.0167739
49 2.2364 0.0166582
50 2.28374 0.0167691
51 2.25487 0.0167018
52 2.2521 0.0166953
53 2.26042 0.0167148
54 2.25095 0.0166926
55 2.26157 0.0167175
56 2.25649 0.0167056
57 2.2244 0.0166297
58 2.23017 0.0166435
59 2.21978 0.0166187
60 2.19161 0.016551
61 2.17291 0.0165055
62 2.196 0.0165616
63 2.17245 0.0165044
64 2.19507 0.0165594
65 2.21193 0.0165999
66 2.13181 0.0164042
67 2.17914 0.0165207
68 2.13504 0.0164122
69 2.14843 0.0164454
70 2.11796 0.0163695
71 2.11888 0.0163719
72 2.1041 0.0163347
73 2.02929 0.0161422
74 2.04153 0.0161742
75 1.9404 0.0159039
76 1.63239 0.0149868
77 1.30984 0.0138381
78 0.729613 0.0110004
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=2.06244
