#Acceptance by SIMC
#1.6<pe[GeV/c]<2.0, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0.000923561 0.000459276
36 1.61969 0.0149455
37 5.27192 0.0205908
38 5.53536 0.0207374
39 5.61225 0.0207763
40 5.53444 0.0207369
41 5.47718 0.0207068
42 5.50073 0.0207193
43 5.52405 0.0207315
44 5.47302 0.0207046
45 5.53859 0.0207391
46 5.46379 0.0206997
47 5.42523 0.0206787
48 5.43931 0.0206864
49 5.43793 0.0206856
50 5.47556 0.020706
51 5.41715 0.0206742
52 5.35157 0.0206374
53 5.3682 0.0206468
54 5.29731 0.0206059
55 5.39614 0.0206626
56 5.24213 0.0205729
57 5.26707 0.0205879
58 5.26268 0.0205853
59 5.22966 0.0205653
60 5.23844 0.0205707
61 5.22112 0.0205601
62 5.22943 0.0205652
63 5.16224 0.0205235
64 5.18995 0.0205408
65 5.12784 0.0205015
66 5.07312 0.0204658
67 5.03641 0.0204414
68 4.90988 0.0203534
69 4.99069 0.0204102
70 4.83299 0.0202973
71 4.7658 0.0202465
72 4.68823 0.0201858
73 4.52429 0.0200501
74 4.4548 0.0199894
75 4.20428 0.019754
76 3.43865 0.0188511
77 2.71989 0.0176832
78 1.616 0.0149335
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=4.8315
