#Acceptance by SIMC
#1.6<pe[GeV/c]<2.0, 100 partition --> 1bin=4MeV/c
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0.000923561 0.000459276
36 0.808347 0.0114693
37 2.28674 0.016776
38 2.67186 0.0175912
39 2.66632 0.0175805
40 2.63261 0.0175145
41 2.6273 0.0175041
42 2.6056 0.017461
43 2.59728 0.0174444
44 2.57927 0.0174082
45 2.59151 0.0174328
46 2.56888 0.0173871
47 2.53564 0.0173192
48 2.53633 0.0173206
49 2.53056 0.0173087
50 2.5705 0.0173904
51 2.52502 0.0172973
52 2.51878 0.0172844
53 2.51393 0.0172743
54 2.501 0.0172473
55 2.53194 0.0173116
56 2.49338 0.0172314
57 2.47676 0.0171963
58 2.44605 0.0171309
59 2.44189 0.017122
60 2.40357 0.0170388
61 2.43358 0.0171041
62 2.43866 0.017115
63 2.43381 0.0171046
64 2.4038 0.0170393
65 2.42596 0.0170876
66 2.41373 0.017061
67 2.43081 0.0170981
68 2.35323 0.0169274
69 2.32553 0.0168649
70 2.2431 0.0166741
71 2.18007 0.016523
72 2.15028 0.01645
73 2.10318 0.0163323
74 2.03045 0.0161452
75 1.81849 0.0155588
76 1.49478 0.0145237
77 1.21956 0.0134729
78 0.783872 0.0113272
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
#Acceptance (average)=2.25784
